Smoke, 1, 7, 522, 148, 76, 0.951, 0.953, 0.431, https://app.roboflow.com/roboflow-100/smoke-uvylj/1
Wall Damage, 3, -1, 325, 96, 40, 0.331, 0.037, 0.093, https://app.roboflow.com/roboflow-100/damage-bah7a/1
Corrosion, 3, 186, 840, 304, 105, 0.786, 0.71, 0.003, https://app.roboflow.com/roboflow-100/corrosion-bi3q3/1
Excavators, 3, 0, 2244, 267, 144, 0.919, 0.921, 0.274, https://app.roboflow.com/roboflow-100/excavators-czvg9/1
Chess Pieces, 13, -1, 202, 58, 29, 0.987, 0.987, 0.017, https://app.roboflow.com/roboflow-100/chess-pieces-mjzgj/1
Road Signs, 21, 0, 1376, 488, 229, 0.956, 0.966, 0.036, https://app.roboflow.com/roboflow-100/road-signs-6ih4y/1
Street Work, 11, 2, 611, 175, 87, 0.492, 0.531, 0.148, https://app.roboflow.com/roboflow-100/street-work/1
Construction Safety, 5, 505, 997, 119, 90, 0.894, 0.885, 0.259, https://app.roboflow.com/roboflow-100/construction-safety-gsnvb/1
Road Traffic, 12, 816, 494, 187, 133, 0.604, 0.634, 0.147, https://app.roboflow.com/roboflow-100/vehicles-80lt0/1
Washroom, 10, 449, 1885, 775, 318, 0.616, 0.636, 0.146, https://app.roboflow.com/roboflow-100/washroom-rf1fa/1
Circuit Elements, 46, 311, 672, 64, 36, 0.051,-1, 0.001, https://app.roboflow.com/roboflow-100/circuit-elements/1
Mask Wearing, 2, -1, 105, 29, 15, 0.834, 0.919, 0.008, https://app.roboflow.com/roboflow-100/mask-wearing-608pr/1
Cables, 11, -1 , 4816, 1220, 794, 0.697, 0.706, 0.01, https://app.roboflow.com/roboflow-100/cables-nl42k/1
Soda Bottles, 6, 243, 1547, 486, 216, 0.958,-1, 0.098, https://app.roboflow.com/roboflow-100/soda-bottles/1
Truck Movement, 7, 282, 740, 215, 107, 0.807, 0.844, 0.007, https://app.roboflow.com/roboflow-100/truck-movement/1
Wine Labels, 12, 249, 3172, 841, 630, 0.607, 0.679, 0.045, https://app.roboflow.com/roboflow-100/wine-labels/1
Digits, 10, 144, 2912, 824, 367, 0.986, 0.987, 0.003, https://app.roboflow.com/roboflow-100/digits-t2eg6/1
Vehicles, 12, 1121, 2634, 966, 458, 0.461, 0.475, 0.029, https://app.roboflow.com/roboflow-100/vehicles-q0x2v/1
Peanuts, 2, 212, 268, 77, 42, 0.995, 0.997, 0.358, https://app.roboflow.com/roboflow-100/peanuts-sd4kf/1
Printed Circuit Board, 34, 311, 548, 80, 44, 0.25,-1, 0, https://app.roboflow.com/roboflow-100/printed-circuit-board/1
Pests, 28, 188, 509, 153, 55, 0.211, 0.002, 0.004, https://app.roboflow.com/roboflow-100/pests-2xlvx/1
Cavity, 2, 165, 287, 93, 38, 0.755, 0.783, 0.029, https://app.roboflow.com/roboflow-100/cavity-rs0uf/1
Leaf Disease, 3, 143, 1589, 616, 296, 0.524,-1, 0.027, https://app.roboflow.com/roboflow-100/leaf-disease-nsdsr/1
Marbles, 2, 133 , 54, 19, 32, 0.995, 0.99, 0.03, https://app.roboflow.com/roboflow-100/marbles/1
Pills, 8, -1, 316, 90, 45, 0.983, 0.948, 0.194, https://app.roboflow.com/roboflow-100/pills-sxdht/1
Poker Cards, 53, -1, 964, 193, 128, 0.995, 0.994,-1, https://app.roboflow.com/roboflow-100/poker-cards-cxcvz/1
Number Ops, 15, 28, 4869, 1636, 623, 0.991, 0.991, 0.055, https://app.roboflow.com/roboflow-100/number-ops/1
Insects, 10, 0, 696, 199, 100, 0.855, 0.798, 0.024, https://app.roboflow.com/roboflow-100//insects-mytwu/1
Cotton, 4, 17, 367, 19, 20, 0.534, 0.539, 0.157, https://app.roboflow.com/roboflow-100/cotton-20xz5/1
Furniture, 3, -1, 454, 161, 74, 0.981, 0.522, 0.836, https://app.roboflow.com/roboflow-100/furniture-ngpea/1
Cable Damage, 2, 2, 919, 256, 134, 0.904, 0.838, 0.006, https://app.roboflow.com/roboflow-100/cable-damage/1
Animals, 10, 12, 700, 200, 100, 0.76, 0.0813, 0.249, https://app.roboflow.com/roboflow-100/animals-ij5d2/1
Coins, 4, -1, 6121, 1599, 699, 0.945, 0.985, 0.175, https://app.roboflow.com/roboflow-100//coins-1apki/1
Apples, 2, 0, 489, 178, 30, 0.775, 0.798, 0.271, https://app.roboflow.com/roboflow-100/apples-fvpl/1
People in Paintings, 1, 5, 634, 194, 81, 0.548, 0.657, 0.168, https://app.roboflow.com/roboflow-100/people-in-paintings/1
Circuit Voltage, 6, 11, 92, 25, 15, 0.794, 0.343, 0.009, https://app.roboflow.com/roboflow-100/circuit-voltages/1
Uno Deck, 15, -1, 6295, 1798, 899, 0.994, 0.994, 0.013, https://app.roboflow.com/roboflow-100/uno-deck/1
Grass Weeds, 1, 105, 1661, 580, 245, 0.787, 0.786, 0.106, https://app.roboflow.com/roboflow-100/grass-weeds/1
Gauge, 3, 141, 158, 52, 25, 0.615, 0.707, 0.217, https://app.roboflow.com/roboflow-100/gauge-u2lwv/1
Sign Language, 26, 0, 504, 144, 72, 0.95, 0.893, 0.006, https://app.roboflow.com/roboflow-100/sign-language-sokdr/1
Valentines Chocolate, 22, 4, 45, 24, 18, 0.927, 0.237, 0.013, https://app.roboflow.com/roboflow-100/valentines-chocolate/1
Fish Market, 21, 252, 13362, 3558, 1811, 0.909,-1, 0.013, https://app.roboflow.com/roboflow-100/fish-market-ggjso/1
Lettuce Pallets, 5, 168, 1060, 299, 151, 0.946, 0.95, 0.031, https://app.roboflow.com/roboflow-100/lettuce-pallets/1
Shark Teeth, 4, 154, 191, 53, 36, 0.951, 0.659, 0.025, https://app.roboflow.com/roboflow-100/shark-teeth-5atku/1
Bees, 1, 163, 5640, 1604, 836, 0.903, 0.691, 0.009, https://app.roboflow.com/roboflow-100/bees-jt5in/1
Sedimentary Features, 5, 31, 156, 45, 21, 0.402, 0.43, 0, https://app.roboflow.com/roboflow-100/sedimentary-features-9eosf/1
Currency, 10, 1, 576, 155, 82, 0.807, 0.518, 0.099, https://app.roboflow.com/roboflow-100/currency-v4f8j/1
