dataset,category,train,test,valid,size,num_classes,yolov5,yolov7,yolov8,glip,num_datasets
aerial-pool,aerial,673,96,177,946,7.0,0.513,0.791,0.744,0.013,1
secondary-chains,aerial,103,16,43,162,1.0,0.341,0.312,0.315,0.0,1
aerial-spheres,aerial,318,51,104,473,6.0,0.993,0.539,0.993,0.0,1
soccer-players-5fuqs,aerial,114,16,33,163,3.0,0.66,0.399,0.946,0.065,1
weed-crop-aerial,aerial,823,118,235,1176,2.0,0.82,0.615,0.791,0.027,1
aerial-cows,aerial,1084,299,340,1723,1.0,0.854,0.568,0.826,0.056,1
cloud-types,aerial,3528,504,1008,5040,4.0,0.271,0.306,0.336,0.006,1
apex-videogame,videogames,2583,415,691,3689,2.0,0.839,0.875,0.865,,1
farcry6-videogame,videogames,82,14,24,120,11.0,0.619,0.216,0.709,0.248,1
csgo-videogame,videogames,1774,207,446,2427,2.0,0.974,0.964,0.978,0.184,1
avatar-recognition-nuexe,videogames,225,30,59,314,1.0,0.889,0.943,0.877,0.367,1
halo-infinite-angel-videogame,videogames,462,71,136,669,4.0,0.921,0.924,0.935,0.173,1
team-fight-tactics,videogames,1162,112,307,1581,59.0,0.961,0.88,0.973,0.0,1
robomasters-285km,videogames,1945,278,556,2779,9.0,0.816,0.772,0.814,0.003,1
stomata-cells,microscopic,1482,209,414,2105,2.0,0.84,0.847,0.855,0.012,1
bccd-ouzjz,microscopic,255,36,73,364,3.0,0.912,0.922,0.927,0.191,1
parasites-1s07h,microscopic,1484,215,411,2110,8.0,0.848,0.889,0.861,0.036,1
cells-uyemf,microscopic,16,2,4,22,1.0,0.249,0.0845,0.861,0.005,1
4-fold-defect,microscopic,503,33,134,670,1.0,0.97,0.938,0.964,0.0,1
bacteria-ptywi,microscopic,30,10,10,50,1.0,0.162,0.000961,0.57,0.0,1
cotton-plant-disease,microscopic,724,102,198,1024,1.0,0.204,0.0518,0.176,0.0,1
mitosis-gjs3g,microscopic,213,30,61,304,1.0,0.931,0.739,0.962,0.001,1
