dataset,yolov5,yolov7,glip
4-fold-defect,0.97,0.938,0.0
abdomen-mri,0.965,0.958,0.021
acl-x-ray,0.995,0.998,0.0
activity-diagrams-qdobr,0.427,0.509,0.002
aerial-cows,0.854,0.568,0.056
aerial-pool,0.513,0.791,0.013
aerial-spheres,0.993,0.539,0.0
animals-ij5d2,0.761,0.342,0.249
apex-videogame,0.839,0.875,
apples-fvpl5,0.779,0.791,
aquarium-qlnqy,0.79,0.822,0.195
asbestos,0.596,0.611,0.007
avatar-recognition-nuexe,0.889,0.943,0.367
axial-mri,0.638,0.549,0.039
bacteria-ptywi,0.162,0.000961,0.0
bccd-ouzjz,0.912,0.922,0.191
bees-jt5in,0.891,0.68,0.009
bone-fracture-7fylg,0.0851,0.0896,0.0
brain-tumor-m2pbp,0.768,0.809,0.003
cable-damage,0.91,0.574,0.006
cables-nl42k,0.688,0.722,0.01
cavity-rs0uf,0.782,0.799,0.029
cell-towers,0.939,0.942,0.053
cells-uyemf,0.249,0.0845,0.005
chess-pieces-mjzgj,0.977,0.83,0.017
circuit-elements,0.0627,,0.001
circuit-voltages,0.797,0.257,0.009
cloud-types,0.271,0.306,0.006
coins-1apki,0.932,0.977,0.175
construction-safety-gsnvb,0.915,0.915,0.259
coral-lwptl,0.174,0.218,0.001
corrosion-bi3q3,0.768,0.764,0.003
cotton-20xz5,0.569,0.591,0.157
cotton-plant-disease,0.204,0.0518,0.0
csgo-videogame,0.974,0.964,0.184
currency-v4f8j,0.583,0.514,0.099
digits-t2eg6,0.989,0.989,0.003
document-parts,0.677,0.666,0.033
excavators-czvg9,0.946,0.895,0.274
farcry6-videogame,0.619,0.216,0.248
fish-market-ggjso,0.92,0.988,0.013
flir-camera-objects,0.796,0.824,0.073
furniture-ngpea,0.983,0.968,0.836
gauge-u2lwv,0.642,0.668,0.217
grass-weeds,0.781,0.781,0.106
gynecology-mri,0.323,0.171,0.0
halo-infinite-angel-videogame,0.921,0.924,0.173
hand-gestures-jps7z,0.995,0.995,
insects-mytwu,0.89,0.858,0.024
leaf-disease-nsdsr,0.531,0.56,0.027
lettuce-pallets,0.945,0.966,0.031
liver-disease,0.592,0.583,0.0
marbles,0.992,0.473,0.03
mask-wearing-608pr,0.788,0.513,0.008
mitosis-gjs3g,0.931,0.739,0.001
number-ops,0.99,0.992,0.055
paper-parts,0.59,0.796,0.007
paragraphs-co84b,0.626,0.61,0.0
parasites-1s07h,0.848,0.889,0.036
peanuts-sd4kf,0.995,0.997,0.358
peixos-fish,0.148,0.821,0.004
people-in-paintings,0.575,0.678,0.168
pests-2xlvx,0.136,0.029,0.004
phages,0.854,0.842,0.002
pills-sxdht,0.869,0.867,0.194
poker-cards-cxcvz,0.886,0.251,-0.0
printed-circuit-board,0.0907,,0.0
radio-signal,0.673,0.653,0.066
road-signs-6ih4y,0.963,0.944,0.036
road-traffic,0.597,0.847,
robomasters-285km,0.816,0.772,0.003
secondary-chains,0.341,0.312,0.0
sedimentary-features-9eosf,0.327,0.244,0.0
shark-teeth-5atku,0.948,0.863,0.025
sign-language-sokdr,0.87,0.255,0.006
signatures-xc8up,0.961,0.932,0.082
smoke-uvylj,0.959,0.962,0.431
soccer-players-5fuqs,0.66,0.399,0.065
soda-bottles,0.964,,0.098
solar-panels-taxvb,0.413,0.261,0.0
stomata-cells,0.84,0.847,0.012
street-work,0.478,0.708,0.148
tabular-data-wf9uh,0.752,0.782,0.018
team-fight-tactics,0.961,0.88,0.0
thermal-cheetah-my4dp,0.931,0.513,0.028
thermal-dogs-and-people-x6ejw,0.967,0.957,0.47
trail-camera,0.966,0.969,0.512
truck-movement,0.786,0.846,0.007
tweeter-posts,0.708,0.495,0.005
tweeter-profile,0.988,0.99,0.002
underwater-objects-5v7p8,0.693,0.453,0.005
underwater-pipes-4ng4t,0.995,0.998,0.733
uno-deck,0.993,0.994,0.013
valentines-chocolate,0.11,0.0593,0.013
vehicles-q0x2v,0.454,0.464,0.029
wall-damage,0.5,0.434,
washroom-rf1fa,0.619,0.634,0.146
weed-crop-aerial,0.82,0.615,0.027
wine-labels,0.569,0.632,0.045
x-ray-rheumatology,0.722,0.506,0.0
